날짜,종가
2022-09-19,56400.0
2022-09-20,55800.0
2022-09-21,55300.0
2022-09-22,54400.0
2022-09-23,54500.0
2022-09-26,53900.0
2022-09-27,54200.0
2022-09-28,52900.0
2022-09-29,52600.0
2022-09-30,53100.0
2022-10-04,55200.0
2022-10-05,56000.0
2022-10-06,56300.0
2022-10-07,56200.0
2022-10-11,55400.0
2022-10-12,55800.0
2022-10-13,55200.0
2022-10-14,56300.0
2022-10-17,56600.0
2022-10-18,56500.0
2022-10-19,55800.0
2022-10-20,55500.0
2022-10-21,55900.0
2022-10-24,57500.0
2022-10-25,57700.0
2022-10-26,59400.0
2022-10-27,59500.0
2022-10-28,57300.0
2022-10-31,59400.0
2022-11-01,60000.0
2022-11-02,59600.0
2022-11-03,59200.0
2022-11-04,59400.0
2022-11-07,60200.0
2022-11-08,61800.0
2022-11-09,62000.0
2022-11-10,60400.0
2022-11-11,62900.0
2022-11-14,61900.0
2022-11-15,62400.0
2022-11-16,62700.0
2022-11-17,61400.0
2022-11-18,61800.0
2022-11-21,61400.0
2022-11-22,60600.0
2022-11-23,61000.0
2022-11-24,61400.0
2022-11-25,61000.0
2022-11-28,60100.0
2022-11-29,60600.0
2022-11-30,62200.0
2022-12-01,62600.0
2022-12-02,60400.0
2022-12-05,60300.0
2022-12-06,59200.0
2022-12-07,58900.0
2022-12-08,59200.0
2022-12-09,60400.0
2022-12-12,59500.0
2022-12-13,59700.0
2022-12-14,60500.0
2022-12-15,59300.0
2022-12-16,59500.0
2022-12-19,59500.0
2022-12-20,58600.0
2022-12-21,58000.0
2022-12-22,59100.0
2022-12-23,58100.0
2022-12-26,57900.0
2022-12-27,58100.0
2022-12-28,56600.0
2022-12-29,55300.0
2023-01-02,55500.0
2023-01-03,55400.0
2023-01-04,57800.0
2023-01-05,58200.0
2023-01-06,59000.0
2023-01-09,60700.0
2023-01-10,60400.0
2023-01-11,60500.0
2023-01-12,60500.0
2023-01-13,60800.0
2023-01-16,61100.0
2023-01-17,61000.0
2023-01-18,60400.0
2023-01-19,61500.0
2023-01-20,61800.0
2023-01-25,63400.0
2023-01-26,63900.0
2023-01-27,64600.0
2023-01-30,63300.0
2023-01-31,61000.0
2023-02-01,61800.0
2023-02-02,63500.0
2023-02-03,63800.0
2023-02-06,61600.0
2023-02-07,61900.0
2023-02-08,63100.0
2023-02-09,63000.0
2023-02-10,62800.0
2023-02-13,62900.0
2023-02-14,63200.0
2023-02-15,62200.0
2023-02-16,63700.0
2023-02-17,62600.0
2023-02-20,62700.0
2023-02-21,62100.0
2023-02-22,61100.0
2023-02-23,62000.0
2023-02-24,61300.0
2023-02-27,60500.0
2023-02-28,60600.0
2023-03-02,60800.0
2023-03-03,60500.0
2023-03-06,61500.0
2023-03-07,60700.0
2023-03-08,60300.0
2023-03-09,60100.0
2023-03-10,59500.0
2023-03-13,60000.0
2023-03-14,59300.0
2023-03-15,59305.40449406649
2023-03-16,59106.60463503156
2023-03-17,59208.18032070571
2023-03-18,59305.0786790753
2023-03-19,59288.62213213538
2023-03-20,59530.97325884019
2023-03-21,58967.80076198407
2023-03-22,58743.91788720888
2023-03-23,58901.254478553354
2023-03-24,58580.41384429736
2023-03-25,58501.060189297714
2023-03-26,58249.29868789579
2023-03-27,58454.416544815576
2023-03-28,58425.82782408495
2023-03-29,58527.8496161951
2023-03-30,58595.55794850318
2023-03-31,58659.3779195072
2023-04-01,58687.22431081471
2023-04-02,58191.10216232872
2023-04-03,58017.081378921765
2023-04-04,58275.58672227764
2023-04-05,58033.78138787259
2023-04-06,57790.40174821506
2023-04-07,57665.545049190114
2023-04-08,57927.205538936425
2023-04-09,57946.806812899296
2023-04-10,58048.95490618455
2023-04-11,58108.39898966014
2023-04-12,58194.946762218584
2023-04-13,58162.062803188805
2023-04-14,57684.92387733058
